time,x,y,z,Fx,Fy,Fz
1775535918.417537,1.0192146241093827,-0.0540258451708563,0.454457277885751,-7.033368,15.348624,-16.596344
1775535918.5175447,1.0192146241093827,-0.0540258451708563,0.454457277885751,-6.968152,15.420778,-16.619877
1775535918.6175396,1.0192146241093827,-0.0540258451708563,0.454457277885751,-7.0574803,15.361214,-16.699701
1775535918.7175417,1.0192146241093827,-0.0540258451708563,0.454457277885751,-6.967951,15.495012,-16.670877
1775535918.8175411,1.0192146241093827,-0.0540258451708563,0.454457277885751,-7.118927,15.461924,-16.620216
1775535918.9175413,1.0192103839362017,-0.054000858940633716,0.454446103662836,-6.9214153,15.367126,-16.59397
1775535919.017542,1.0192146241093827,-0.0540258451708563,0.454457277885751,-7.0082474,15.430027,-16.59382
1775535919.117539,1.0192146241093827,-0.0540258451708563,0.454457277885751,-6.9702845,15.352285,-16.724209
1775535919.217551,1.0192103839362017,-0.054000858940633716,0.454446103662836,-7.020486,15.424709,-16.620346
1775535919.317541,1.0192146241093827,-0.0540258451708563,0.454457277885751,-7.0228195,15.312731,-16.64774
1775535919.4175425,1.0192146241093827,-0.0540258451708563,0.454457277885751,-6.959957,15.474318,-16.59216
1775535919.5175385,1.0192146241093827,-0.0540258451708563,0.454457277885751,-7.0834966,15.371988,-16.647049
1775535919.6175394,1.0192146241093827,-0.0540258451708563,0.454457277885751,-6.9978333,15.42012,-16.773321
1775535919.7175462,1.0192146241093827,-0.0540258451708563,0.454457277885751,-7.0688334,15.410464,-16.673393
1775535919.8175352,1.0192146241093827,-0.0540258451708563,0.454457277885751,-6.9853354,15.317978,-16.621012
1775535919.9174356,1.0192146241093827,-0.0540258451708563,0.454457277885751,-7.0239325,15.424466,-16.696531
1775535920.0173712,1.0192146241093827,-0.0540258451708563,0.454457277885751,-7.053979,15.575304,-16.619701
1775535920.117396,1.0192146241093827,-0.0540258451708563,0.454457277885751,-7.021288,15.407319,-16.671375
1775535920.2173886,1.0192146241093827,-0.0540258451708563,0.454457277885751,-7.0077353,15.375134,-16.647057
1775535920.3173697,1.0192146241093827,-0.0540258451708563,0.454457277885751,-7.036894,15.344322,-16.74925
1775535920.4173946,1.0192146241093827,-0.0540258451708563,0.454457277885751,-6.9107103,15.429503,-16.669207
1775535920.5174367,1.0192146241093827,-0.0540258451708563,0.454457277885751,-7.0463786,15.505659,-16.695417
1775535920.6175015,1.0192146241093827,-0.0540258451708563,0.454457277885751,-7.008769,15.46018,-16.645073
1775535920.7175446,1.0192146241093827,-0.0540258451708563,0.454457277885751,-7.1303167,15.419214,-16.648817
1775535920.8174763,1.0192103839362017,-0.054000858940633716,0.454446103662836,-6.9585905,15.415148,-16.722385
1775535920.9175274,1.0192146241093827,-0.0540258451708563,0.454457277885751,-6.921859,15.339843,-16.620388
1775535921.017522,1.0192049960379885,-0.053994566284707744,0.4544509638826221,-6.981742,15.391752,-16.673159
1775535921.1175442,1.017777210042186,-0.052440957922116185,0.45412024337121404,-6.973054,15.450907,-16.747044
1775535921.2175484,1.0143263083679297,-0.05055102020678223,0.45385101400702765,-7.016966,15.3395405,-16.591291
1775535921.317572,1.0111663465786576,-0.052021426296042415,0.454607658581682,-7.0367823,15.376475,-16.56865
1775535921.4175375,1.008190648625428,-0.054662627715655276,0.4552663894365127,-7.1129823,15.40991,-16.644033
1775535921.5175414,1.0051271632309893,-0.055354367740925316,0.45508605633154287,-6.9797006,15.395092,-16.642593
1775535921.617538,1.0023031359414392,-0.055025417185073616,0.4549317852333514,-6.925374,15.421775,-16.616917
1775535921.7175403,0.9994091198819509,-0.05491128105820061,0.4551195292748243,-7.015108,15.457634,-16.642311
1775535921.817538,0.9964891024799184,-0.05561399124141055,0.45553678083304133,-7.0537963,15.491295,-16.512173
1775535921.9175413,0.9933735586214605,-0.056963493693217654,0.4556119613021721,-6.989806,15.427521,-16.590725
1775535922.0174956,0.9903368517714811,-0.05785543744154397,0.4556790457949852,-6.929698,15.453198,-16.589563
1775535922.1175091,0.9874875707137112,-0.05783565797144799,0.4558471478719538,-6.9496555,15.418975,-16.539452
1775535922.2175384,0.9845703051763538,-0.0577120240619257,0.4560474988647168,-7.038098,15.413977,-16.566442
1775535922.3175364,0.9816185694109111,-0.05872031463101488,0.45597376705786197,-7.0299196,15.314882,-16.513582
1775535922.4175513,0.9785720183807097,-0.059999486163404184,0.45544751251933974,-7.031475,15.460828,-16.536905
1775535922.5175397,0.9756878527895426,-0.05993538138443149,0.455851547228182,-7.0784464,15.412152,-16.61569
1775535922.6175375,0.9726420402270023,-0.05985752496107834,0.45655239765096106,-7.071767,15.42896,-16.534765
1775535922.71754,0.9696056384193518,-0.060942167614335394,0.45692153606669833,-6.9836664,15.383341,-16.48402
1775535922.8175445,0.9665813799969641,-0.062300985007810165,0.45674390282011246,-7.013644,15.421257,-16.512783
1775535922.91754,0.9635854145454531,-0.0627030301799381,0.4565838334188598,-6.9568663,15.450468,-16.534006
1775535923.017546,0.9606473230096065,-0.06280380263199459,0.4564519111559693,-6.9980264,15.3342705,-16.510393
1775535923.117539,0.9576651900635659,-0.06339635158175995,0.45625178636917685,-7.0476785,15.413013,-16.4308
1775535923.2175453,0.9548141390344984,-0.06410546857099841,0.45642549338732985,-7.072845,15.3863945,-16.380222
1775535923.3175383,0.9518431435850356,-0.06441783159099841,0.4567003229009691,-7.070654,15.3172245,-16.48597
1775535923.4175386,0.9487803046657399,-0.06526807966478348,0.4567430800397737,-7.1109533,15.465382,-16.482428
1775535923.5175388,0.9458179330916875,-0.06560997338779197,0.4566558618938119,-7.0390615,15.557583,-16.457556
1775535923.6175404,0.9429954279161177,-0.06580749033427172,0.45688303598515595,-7.006545,15.492738,-16.378893
1775535923.7175388,0.9400460737899345,-0.06597722828901945,0.4568854192449113,-6.9928975,15.316999,-16.454197
1775535923.8175378,0.937058231904364,-0.0667363049099902,0.45676657251315533,-6.946127,15.358543,-16.405907
1775535923.9175391,0.9340178110327229,-0.06764163648517892,0.457026158082402,-6.982539,15.298717,-16.431595
