time,x,y,z,Fx,Fy,Fz
1775536905.2527666,1.0244614826136367,-0.04415121445982813,0.454816605477121,-4.539256,16.026905,-14.956833
1775536905.3527834,1.0244614826136367,-0.04415121445982813,0.454816605477121,-4.6340494,16.138596,-14.931519
1775536905.4527757,1.0244614826136367,-0.04415121445982813,0.454816605477121,-4.5855775,16.102118,-14.854855
1775536905.5527806,1.0244614826136367,-0.04415121445982813,0.454816605477121,-4.563447,16.096931,-15.085023
1775536905.6527948,1.0244614826136367,-0.04415121445982813,0.454816605477121,-4.5582886,16.141743,-14.931526
1775536905.7527761,1.0244614826136367,-0.04415121445982813,0.454816605477121,-4.5411158,16.121952,-14.979325
1775536905.8527732,1.0244614826136367,-0.04415121445982813,0.454816605477121,-4.694145,16.091534,-15.037776
1775536905.9527695,1.0244614826136367,-0.04415121445982813,0.454816605477121,-4.64251,16.1594,-15.010101
1775536906.0527658,1.0244614826136367,-0.04415121445982813,0.454816605477121,-4.551097,16.103655,-14.903839
1775536906.1527495,1.0244614826136367,-0.04415121445982813,0.454816605477121,-4.5246387,16.120165,-14.930075
1775536906.2527282,1.0244614826136367,-0.04415121445982813,0.454816605477121,-4.563881,16.125137,-14.9810095
1775536906.3527641,1.0244614826136367,-0.04415121445982813,0.454816605477121,-4.569981,16.07888,-14.9333515
1775536906.4526277,1.0244614826136367,-0.04415121445982813,0.454816605477121,-4.5616894,16.055965,-15.086757
1775536906.5526178,1.0244614826136367,-0.04415121445982813,0.454816605477121,-4.51249,16.096684,-15.084757
1775536906.6526139,1.0244614826136367,-0.04415121445982813,0.454816605477121,-4.655904,16.168955,-14.906919
1775536906.7526152,1.0244614826136367,-0.04415121445982813,0.454816605477121,-4.538612,16.128422,-14.981418
1775536906.8526163,1.0244614826136367,-0.04415121445982813,0.454816605477121,-4.501105,16.106277,-14.981242
1775536906.9527662,1.0244614826136367,-0.04415121445982813,0.454816605477121,-4.6983886,16.034773,-15.011529
1775536907.0527952,1.0244614826136367,-0.04415121445982813,0.454816605477121,-4.5603085,16.043907,-14.907149
